,precision,recall,f1-score,support
actinic keratoses and intraepithelial carcinoma,0.2605633802816901,0.5606060606060606,0.3557692307692308,66.0
basal cell carcinoma,0.36428571428571427,0.49514563106796117,0.41975308641975306,103.0
benign keratosis-like lesions,0.4864864864864865,0.4090909090909091,0.4444444444444444,220.0
dermatofibroma,0.0,0.0,0.0,23.0
melanoma,0.5229357798165137,0.2556053811659193,0.3433734939759036,223.0
melanocytic nevi,0.8408602150537634,0.8747203579418344,0.8574561403508771,1341.0
vascular lesions,0.47058823529411764,0.5517241379310345,0.5079365079365079,29.0
accuracy,0.7102244389027431,0.7102244389027431,0.7102244389027431,0.7102244389027431
macro avg,0.42081711588832654,0.4495560682576742,0.4183904148423881,2005.0
weighted avg,0.7080303864372848,0.7102244389027431,0.7010694498788494,2005.0
