,precision,recall,f1-score,support
actinic keratoses and intraepithelial carcinoma,0.7317073170731707,0.45454545454545453,0.5607476635514018,66.0
basal cell carcinoma,0.616822429906542,0.6407766990291263,0.6285714285714286,103.0
benign keratosis-like lesions,0.5661016949152542,0.759090909090909,0.6485436893203883,220.0
dermatofibroma,0.3870967741935484,0.5217391304347826,0.4444444444444444,23.0
melanoma,0.6932515337423313,0.5067264573991032,0.5854922279792746,223.0
melanocytic nevi,0.9110612855007474,0.9090231170768084,0.9100410600970511,1341.0
vascular lesions,0.7333333333333333,0.7586206896551724,0.7457627118644068,29.0
accuracy,0.8124688279301746,0.8124688279301746,0.8124688279301746,0.8124688279301746
macro avg,0.6627677669521325,0.6500746367473367,0.6462290322611993,2005.0
weighted avg,0.8193845059564684,0.8124688279301746,0.8115765505653612,2005.0
