,precision,recall,f1-score,support
actinic keratoses and intraepithelial carcinoma,0.8095238095238095,0.5151515151515151,0.6296296296296297,66.0
basal cell carcinoma,0.75,0.7281553398058253,0.7389162561576355,103.0
benign keratosis-like lesions,0.6916299559471366,0.7136363636363636,0.7024608501118568,220.0
dermatofibroma,0.7368421052631579,0.6086956521739131,0.6666666666666666,23.0
melanoma,0.67,0.600896860986547,0.6335697399527187,223.0
melanocytic nevi,0.9107913669064748,0.9440715883668904,0.9271329183449286,1341.0
vascular lesions,0.8888888888888888,0.8275862068965517,0.8571428571428571,29.0
accuracy,0.8498753117206983,0.8498753117206983,0.8498753117206983,0.8498753117206983
macro avg,0.7796680180756381,0.7054562181453724,0.7365027025723274,2005.0
weighted avg,0.8460566239188801,0.8498753117206983,0.846367625269268,2005.0
