,precision,recall,f1-score,support
actinic keratoses and intraepithelial carcinoma,0.27722772277227725,0.42424242424242425,0.33532934131736525,66.0
basal cell carcinoma,0.4090909090909091,0.4368932038834951,0.4225352112676056,103.0
benign keratosis-like lesions,0.5260663507109005,0.5045454545454545,0.5150812064965197,220.0
dermatofibroma,0.0,0.0,0.0,23.0
melanoma,0.48299319727891155,0.3183856502242152,0.3837837837837838,223.0
melanocytic nevi,0.8375706214689266,0.8844146159582401,0.8603554588320639,1341.0
vascular lesions,0.5,0.3448275862068966,0.40816326530612246,29.0
accuracy,0.7236907730673316,0.7236907730673316,0.7236907730673316,0.7236907730673316
macro avg,0.43327840018884645,0.4161869907229608,0.4178926095719229,2005.0
weighted avg,0.7090063226327981,0.7236907730673316,0.7132807568519716,2005.0
