,precision,recall,f1-score,support
actinic keratoses and intraepithelial carcinoma,0.34177215189873417,0.4090909090909091,0.3724137931034483,66.0
basal cell carcinoma,0.39869281045751637,0.5922330097087378,0.4765625,103.0
benign keratosis-like lesions,0.5395348837209303,0.5272727272727272,0.5333333333333333,220.0
dermatofibroma,0.0,0.0,0.0,23.0
melanoma,0.4530386740331492,0.36771300448430494,0.40594059405940597,223.0
melanocytic nevi,0.8636363636363636,0.8642803877703207,0.8639582556839359,1341.0
vascular lesions,0.42857142857142855,0.5172413793103449,0.46875,29.0
accuracy,0.7281795511221946,0.7281795511221946,0.7281795511221946,0.7281795511221946
macro avg,0.4321780446168746,0.46826163109104924,0.4458512108828748,2005.0
weighted avg,0.7251434190999365,0.7281795511221946,0.7250299773194845,2005.0
