,precision,recall,f1-score,support
actinic keratoses and intraepithelial carcinoma,0.8309859154929577,0.8939393939393939,0.8613138686131386,66.0
basal cell carcinoma,0.7651515151515151,0.9805825242718447,0.8595744680851064,103.0
benign keratosis-like lesions,0.7888446215139442,0.9,0.8407643312101911,220.0
dermatofibroma,0.0,0.0,0.0,23.0
melanoma,0.7297297297297297,0.6053811659192825,0.6617647058823529,223.0
melanocytic nevi,0.9205882352941176,0.9336316181953765,0.9270640503517216,1341.0
vascular lesions,0.75,0.10344827586206896,0.18181818181818182,29.0
accuracy,0.8718204488778055,0.8718204488778055,0.8718204488778055,0.8718204488778055
macro avg,0.683614288168895,0.6309975683125667,0.6188999437086703,2005.0
weighted avg,0.8609426665712472,0.8718204488778055,0.8610424870890901,2005.0
